CLAVE,NOMBRE,SEMESTRE
5,Álgebra Lineal I,3
1326,Matemáticas para las Ciencias Aplicadas III,3
1323,Modelado y Programación,3
625,Probabilidad I,3
1425,Autómatas y Lenguajes Formales,4
1427,Lógica Computacional,4
1429,Matemáticas para las Ciencias Aplicadas IV,4
1428,Optativarganización y Arquitectura de Computadoras,4
1532,Análisis de Algoritmos,5
1533,Computación Distribuida,5
1534,Fundamentos de Bases de Datos,5
1535,Inglés V,5
1536,Lenguajes de Programación,5
0575,Ingeniería de Software,6
0608,Inteligencia Artificial,6
0713,Sistemas Operativos,6
249,Geometría Moderna I,Optativa
803,Graficación por Computadoras,Optativa
668,Ingeniería de Software II,Optativa
669,Introducción a la Criptografía,Optativa
351,Introducción a las Funciones Recursivas y Computabilidad,Optativa
1048,Introducción a los Sistemas Complejos,Optativa
1506,Investigación de Operaciones,Optativa
1047,La Sustentabilidad del Desarrollo,Optativa
670,Lenguajes de Programación II,Optativa
819,Lingüística Computacional,Optativa
671,Lógica Computacional II,Optativa
446,Lógica Matemática II,Optativa
447,Lógica Matemática III,Optativa
672,Métodos Formales,Optativa
673,Métricas de Software,Optativa
291,México: Nación Multicultural,Optativa
932,Movilidad I,Optativa
933,Movilidad II,Optativa
934,Movilidad III,Optativa
936,Movilidad IV,Optativa
674,Patrones de Diseño de Software,Optativa
626,Probabilidad II,Optativa
805,Proceso Digital de Imágenes,Optativa
1613,Procesos Estocásticos,Optativa
676,Programación Declarativa,Optativa
0675,Programación de Dispositivos Móviles,Optativa
0632,Programación Dinámica,Optativa
0633,Programación Entera,Optativa
0621,Programación Lineal,Optativa
0634,Programación no Lineal,Optativa
0677,Protocolos de Enrutamiento,Optativa
0678,Pruebas de Software y Administración de la Configuración,Optativa
0679,Razonamiento Automatizado,Optativa
0771,Realidad Virtual,Optativa
0772,Reconocimiento de Patrones,Optativa
0773,Reconocimiento de Patrones y Aprendizaje Automatizado,Optativa
0774,Recuperación y Búsqueda de Información en Textos,Optativa
0781,Redes Neuronales,Optativa
0782,Riesgo Tecnológico,Optativa
0820,Robótica,Optativa
0903,Robótica Móvil,Optativa
0814,Semántica y Verificación,Optativa
783,Seminario de Ciencias de la Computación A,Optativa
784,Seminario de Ciencias de la Computación B,Optativa
785,Sistemas de Información Geográfica,Optativa
786,Sistemas Dinámicos Computacionales I,Optativa
787,Sistemas Dinámicos Computacionales II,Optativa
826,Sistemas Manejadores de Bases de Datos,Optativa
788,Taller de Ejercicio Profesional A,Optativa
789,Taller de Ejercicio Profesional B,Optativa
790,Tecnologí­as para Desarrollos en Internet,Optativa
1089,Tecnologí­as para Desarrollos en Internet,Optativa
791,Teorí­a de Códigos,8
759,Teorí­a de Gráficas,Optativa
792,Teorí­a de la Concurrencia,Optativa
793,Teorí­a de la Información,Optativa
277,Teorí­a de las Gráficas II,Optativa
760,Teorí­a de los Conjuntos I,Optativa
779,Teorí­a de los Conjuntos II,Optativa
764,Teorí­a de los Números I,Optativa
777,Teorí­a de los Números II,Optativa
442,Teoría de Redes,Optativa
765,Topologí­a I,Optativa
840,Variable Compleja,5
794,Visión Por Computadora,8
809,Visualización,Optativa
1827,Computación Concurrente,8
1828,Criptografí­a y Seguridad,8
1829,Inglés VI,6
817,Compiladores,7
269,Complejidad Computacional,7
714,Redes de Computadoras,7
